gene	chromosome	start	end	CNV_value
DPF3	chr14	72619296	72894116	-0.07266452118779655
DPM1	chr20	50934867	50958555	-0.000336274174793978
DPP4	chr2	161992245	162074215	3.715584279173508e-05
DPP8	chr15	65442463	65517704	0.0015568326008209817
DPPA2	chr3	109293788	109316517	-0.0020924142439839462
DPT	chr1	168695468	168729206	-0.017182168887364152
DPY19L2	chr12	63558913	63668939	0.0001584562263202007
DPYD	chr1	97077743	97995000	0.0005739060561435618
DPYSL2	chr8	26514031	26658178	0.0001365661769422252
DRAM1	chr12	101877580	102012130	2.6482969706054517e-05
DRC1	chr2	26401920	26456711	0.0007906445295729718
DRC3	chr17	17972813	18016889	-0.00029845357458371027
DRD1	chr5	175440036	175444182	-0.00716110184528025
DRD2	chr11	113409605	113475691	-0.00712746846657141
DRD3	chr3	114127580	114199407	-0.0004695229025423783
DRD5	chr4	9781634	9784009	-0.13004131408159444
DRG1	chr22	31399604	31530634	-0.00016659799599544025
DSG1	chr18	31318160	31359246	-0.03381473962030213
DSG2	chr18	31498177	31549008	-0.03381473962030213
DSG3	chr18	31447741	31478702	-0.03381473962030213
DST	chr6	56457987	56954649	0.007837123110607812
DTHD1	chr4	36281622	36345756	-0.11258455425653785
DTL	chr1	212035553	212107400	0.012707105603331733
DTNA	chr18	34493290	34891844	-0.03381473962030213
DTNBP1	chr6	15522801	15663058	0.00013478833979989235
DTX1	chr12	113056709	113098028	0.00017329537330035345
DUOX2	chr15	45092650	45114344	0.003103282238128842
DUOXA1	chr15	45117367	45129938	0.003103282238128842
DUOXA2	chr15	45114326	45118421	0.003103282238128842
DUSP13	chr10	75094432	75109221	7.908439244892513e-05
DUSP23	chr1	159780932	159782543	-0.0046171018609826465
DUSP28	chr2	240560054	240564014	
DUSP5	chr10	110497907	110511533	-0.0034312916843590516
DUSP6	chr12	89347235	89352501	2.240002122937098e-05
DUX4	chr4	190173774	190185942	
DVL1	chr1	1335276	1349418	0.005415208816122133
DVL2	chr17	7225342	7234517	-0.09502533670864402
DVL3	chr3	184155377	184173614	0.0006244303440802904
DYDC1	chr10	80336105	80356755	7.908439244892513e-05
DYNC1H1	chr14	101964573	102056443	-0.05453383912870634
DYRK1A	chr21	37365573	37526358	-0.0004919134136229591
DYRK1B	chr19	39825350	39834201	2.5862359169178974e-05
DZIP1L	chr3	138061990	138115818	3.1363944314348633e-06
E2F1	chr20	33675477	33686385	-0.0002779070822181201
E2F3	chr6	20401879	20493714	0.00019662951581001786
E2F4	chr16	67192155	67198918	0.01030756366400854
E4F1	chr16	2223580	2235742	0.0076711826891900075
EBF1	chr5	158695916	159099916	-0.00665117178142286
EBF2	chr8	25841725	26045413	6.150810544858858e-05
EBI3	chr19	4229523	4237528	0.0003760747592308218
EBP	chrX	48521799	48528716	
ECD	chr10	73130155	73169055	0.00019179728085799943
ECE1	chr1	21217247	21345572	0.0003457959525731649
ECEL1	chr2	232479827	232487834	0.03235524370282734
ECHDC1	chr6	127288712	127343609	0.026991936291005957
ECHS1	chr10	133362485	133373354	
ECM2	chr9	92493554	92536655	-0.002214471468870328
ECPAS	chr9	111360692	111484745	0.0015528432279981355
ECRG4	chr2	106063246	106078155	-0.00011537053516973061
ECSIT	chr19	11505929	11529172	0.02890830333847734
EDA	chrX	69616067	70039472	
EDIL3	chr5	83940554	84384880	0.0007951827129060911
EDN1	chr6	12290361	12297194	0.00013478833979989235
EDNRA	chr4	147480917	147544954	-0.002289617241669375
EDNRB	chr13	77895481	77975529	-0.007268806026474949
EDRF1	chr10	125719515	125764143	-0.050259546627500436
EED	chr11	86244753	86278813	-0.00024814774910539056
EEF1A2	chr20	63488014	63499185	-2.9782016404695846e-05
EEF1AKNMT	chr1	171781660	171814023	-0.00844705524627609
EEF1G	chr11	62559596	62574086	0.0010815157196392648
EFHC1	chr6	52362123	52529886	0.007837123110607812
EFHC2	chrX	44147872	44343672	
EFNB2	chr13	106489745	106535662	-0.00463512448314386
EFR3A	chr8	131904093	132013642	0.010706999873066765
EFR3B	chr2	25042076	25159135	0.0007906445295729718
EFS	chr14	23356403	23365752	-0.0044984535589549495
EFTUD2	chr17	44849948	44899445	0.01956760265630175
EGF	chr4	109912883	110013766	-0.05947985058414736
EGFL6	chrX	13569601	13633575	
EGFL7	chr9	136658856	136672678	0.14757171828843765
EGFL8	chr6	32164595	32168281	5.351353544756713e-05
EGFR	chr7	55019017	55211628	0.0013359829688630546
EGLN1	chr1	231363751	231422287	0.1126137462508947
EGLN3	chr14	33924227	34462774	-0.004081637882656571
EGR2	chr10	62811996	62919900	6.351525282950847e-05
EGR3	chr8	22687659	22693480	-6.835300857451329e-05
EGR4	chr2	73290929	73293701	7.575779268146809e-05
EHBP1	chr2	62673851	63046487	0.00013370561209632298
EHF	chr11	34621093	34661057	0.0005369828061021761
EHMT1	chr9	137618992	137870016	
EHMT2	chr6	31879759	31897687	3.978565542470945e-06
EID1	chr15	48878134	48880173	0.003103282238128842
EIF1AD	chr11	65996545	66002176	0.011935176169608616
EIF1AY	chrY	20575776	20593154	
EIF1B	chr3	40309707	40312424	-0.07944780010754804
EIF2AK2	chr2	37099210	37157065	0.000544388298365933
EIF2AK3	chr2	88556741	88627464	3.6650204618020156e-05
EIF2AK4	chr15	39934115	40035591	0.0026748072224950254
EIF2S1	chr14	67360151	67386516	-0.05764698793466415
EIF3A	chr10	119033670	119080823	-0.01633029471607391
EIF3C	chr16	28688558	28735730	0.000703216421654597
EIF4A1	chr17	7572706	7579006	-0.050358427928358436
EIF4A3	chr17	80134369	80147151	0.005546386178568871
EIF4E	chr4	98871684	98930637	-0.08924705924435848
EIF4EBP1	chr8	38030534	38060365	0.00021480867466759364
EIF4EBP2	chr10	70404145	70428618	0.00031105841972587744
EIF4EBP3	chr5	140547662	140549576	3.4528084362653004e-05
EIF4ENIF1	chr22	31436977	31496108	-0.00016659799599544025
EIF4G1	chr3	184314495	184335358	0.0006244303440802904
EIF5A	chr17	7306999	7312463	-0.0831837900968406
EIF5AL1	chr10	79512601	79516440	7.908439244892513e-05
EIPR1	chr2	3188925	3377882	0.0011069364036231303
ELAC1	chr18	50967991	50988121	-0.03381473962030213
ELAC2	chr17	12991612	13018065	-0.0016948967086537437
ELANE	chr19	851014	856247	0.0007065477887497425
ELAVL1	chr19	7958573	8005659	0.002685610915600622
ELF3	chr1	202007945	202017183	0.00010796952266883792
ELF4	chrX	130064874	130110716	
ELF5	chr11	34478793	34525193	0.0005369828061021761
ELFN1	chr7	1688119	1747954	-4.729841684267593e-05
ELK1	chrX	47635521	47650604	
ELK3	chr12	96194375	96269824	2.6482969706054517e-05
ELK4	chr1	205597556	205632011	0.00021408951442403176
ELMOD1	chr11	107591091	107666779	-0.01061669625336271
ELMOD2	chr4	140524168	140553770	-0.00494972532125631
ELN	chr7	74027789	74069907	0.007364943431711107
ELOB	chr16	2771414	2777297	0.004755963562036013
ELOC	chr8	73939169	73972287	5.047327505746193e-06
ELSPBP1	chr19	47994632	48025154	0.0005427902172196493
EMC1	chr1	19215660	19251527	0.0003457959525731649
EMC4	chr15	34225013	34230156	0.004043780019024639
EMD	chrX	154379273	154381523	
EMP1	chr12	13196723	13219941	-0.04334391504790958
EMP2	chr16	10528422	10580632	0.0024196002195725906
EMSY	chr11	76444923	76553025	9.71009611571417e-05
EMX2	chr10	117542445	117549546	-0.01633029471607391
EN1	chr2	118842171	118847648	-0.0001850725697362206
EN2	chr7	155458129	155464831	
ENG	chr9	127815012	127854756	0.027767993957379063
ENKUR	chr10	24981979	25062279	-0.004173867097552244
ENO2	chr12	6913745	6923698	-0.067834381043737
ENOSF1	chr18	670318	712662	-0.029405424639585172
ENOX1	chr13	43213518	43786908	-0.014834279020482018
ENOX2	chrX	130623369	130903317	
ENPEP	chr4	110365733	110565285	-0.05947985058414736
ENPP1	chr6	131808016	131895155	0.03271188110894906
ENPP2	chr8	119557086	119673453	0.008026174640372587
ENPP3	chr6	131628442	131747418	0.03271188110894906
ENTPD1	chr10	95711779	95877266	-0.00013691491743080773
ENTPD2	chr9	137048107	137054061	
EOMES	chr3	27715949	27722711	-0.09406176749711218
EP300	chr22	41092592	41180077	-0.0033673850824723446
EPAS1	chr2	46293667	46386697	0.00017966151107430106
EPB41L3	chr18	5392381	5630700	-0.029405424639585172
EPCAM	chr2	47345158	47387601	0.00017966151107430106
EPDR1	chr7	37683843	37951936	6.874616514815643e-05
EPG5	chr18	45847609	45967329	-0.03381473962030213
EPHA1	chr7	143390289	143408856	8.898160696866219e-05
EPHA10	chr1	37713880	37765133	0.020848399463453394
EPHA2	chr1	16124337	16156069	0.0005035449590357965
EPHA3	chr3	89107621	89482134	-0.010707034398929586
EPHA4	chr2	221418027	221574202	0.05646305699567348
EPHA7	chr6	93240020	93419559	0.013013075087082358
EPHA8	chr1	22563489	22603595	0.0002534796543138907
EPHB1	chr3	134597801	135260467	-4.961949320535454e-05
EPHB2	chr1	22710839	22921500	0.0002534796543138907
EPHB4	chr7	100802565	100827523	0.0006075267652087388
EPHB6	chr7	142855061	142871094	8.898160696866219e-05
EPHX1	chr1	225810092	225845563	0.03443925606753613
EPHX2	chr8	27490781	27545564	0.0001365661769422252
EPM2AIP1	chr3	36985043	36993131	-0.09406176749711218
EPO	chr7	100720468	100723700	0.0006075267652087388
EPOR	chr19	11377207	11384342	0.02890830333847734
EPS8L3	chr1	109750080	109764027	0.0006559449915593991
ERAP1	chr5	96760810	96808100	0.0007951827129060911
ERAS	chrX	48826513	48830138	
ERBB2	chr17	39687914	39730426	0.17930124314049634
ERBB3	chr12	56076799	56103505	0.000113869904110443
ERBB4	chr2	211375717	212538841	0.03647947861261257
ERC1	chr12	990509	1495933	-0.029111438765546456
ERCC1	chr19	45407333	45478828	0.0002678663191804061
ERCC2	chr19	45349837	45370918	0.0002678663191804061
ERCC3	chr2	127257290	127294166	-0.00015634009817526003
ERCC4	chr16	13920154	13952348	0.0013526902526049963
ERCC5	chr13	102807146	102876001	-0.00463512448314386
ERCC6	chr10	49454470	49539538	-0.00010822042522412568
EREG	chr4	74365145	74388749	-0.08953452306266499
ERFE	chr2	238158970	238168900	0.00869518892229871
ERG	chr21	38380027	38661780	-0.0004919134136229591
ERG28	chr14	75649791	75660876	-0.08500630126655599
ERGIC2	chr12	29337352	29381189	-0.0034828923766608943
ERLIN2	chr8	37736601	37758422	0.00021480867466759364
ERMAP	chr1	42817122	42844991	0.05196342837794612
ERN1	chr17	64039142	64130819	0.0006450976308161934
ERP27	chr12	14914039	14938537	-0.04334391504790958
ERRFI1	chr1	8004404	8026309	0.0021068366157584563
ERVFRD-1	chr6	11102489	11111725	-0.00014473675024242463
ESF1	chr20	13714322	13784886	-0.0004207955747306463
ESM1	chr5	54977867	55022671	0.0015596860181587495
ESR1	chr6	151656691	152129619	0.00887087449816526
ESR2	chr14	64084232	64338112	-0.03559514530806321
ESRRA	chr11	64305497	64316743	0.003685000769892627
ESRRG	chr1	216503246	217137755	0.012707105603331733
ETS1	chr11	128458761	128587558	-0.0025993242248592827
ETV1	chr7	13891229	13991425	-0.00026868920080740685
ETV3	chr1	157121191	157138474	7.442554915724541e-05
ETV5	chr3	186046314	186110318	0.0008641157790360995
ETV6	chr12	11649674	11895377	-0.04334391504790958
EVI2B	chr17	31303770	31314105	0.010672313811506386
EVI5	chr1	92508696	92792404	0.00046837332385327163
EWSR1	chr22	29268009	29300525	0.00019704791692216856
EXO1	chr1	241847967	241895148	0.13960872772036745
EXOSC10	chr1	11066618	11099869	0.0011102918490641844
EYA1	chr8	71197433	71592025	-2.9077859236749906e-05
EYA4	chr6	133240598	133532128	0.03271188110894906
EZH1	chr17	42700275	42745049	0.10463334982052944
EZH2	chr7	148807383	148884321	8.898160696866219e-05
EZHIP	chrX	51406948	51408843	
F11	chr4	186266189	186289681	-8.575323636440421e-05
F11R	chr1	160995211	161021343	-0.017348570493744556
F12	chr5	177402140	177409576	-0.004553560483529834
F13A1	chr6	6144084	6321013	-2.7001233954606018e-05
F2	chr11	46719196	46739506	0.0005550965363730477
F2R	chr5	76716126	76735770	0.0003868854199734932
F2RL1	chr5	76818933	76835315	0.0003868854199734932
F2RL3	chr19	16888999	16892606	0.008840247738418376
F5	chr1	169511951	169586588	-0.017182168887364152
F7	chr13	113105788	113120681	-0.0045872845668024
F8	chrX	154835788	155026940	
FAAH	chr1	46394317	46413848	0.049390758487010064
FABP2	chr4	119317250	119322138	-0.02999896749594418
FABP3	chr1	31365253	31376850	0.002703013181809804
FABP4	chr8	81478419	81483236	0.000318216303090948
FABP7	chr6	122779716	122784074	0.026991936291005957
FADD	chr11	70203163	70207390	0.0029738692413235233
FADS1	chr11	61799627	61829318	0.0007399777444848059
FADS2	chr11	61792980	61867354	0.0007399777444848059
FAF1	chr1	50437028	50960267	0.03124479520221401
FAF2	chr5	176447628	176510074	-0.004553560483529834
FAIM	chr3	138608606	138633376	3.1363944314348633e-06
FAIM2	chr12	49866896	49904217	-0.00017525960290996431
FAM107A	chr3	58564117	58627610	-0.025358627940254137
FAM110A	chr20	833715	857463	-0.0014900675207223041
FAM117B	chr2	202634969	202769757	0.016602107157850505
FAM126B	chr2	200973718	201071671	0.003669322906443456
FAM131C	chr1	16057769	16073651	0.0005035449590357965
FAM161A	chr2	61824848	61854143	0.00013370561209632298
FAM168A	chr11	73400487	73598189	9.71009611571417e-05
FAM193A	chr4	2536631	2732565	-0.13543776502304397
FAM3A	chrX	154506159	154516242	
FAM53C	chr5	138331935	138349729	0.00034501102998870276
FAM76B	chr11	95768953	95790409	-0.001708139029617144
FAM98A	chr2	33583660	33599382	0.000544388298365933
FAM9B	chrX	9024232	9295682	
FANCA	chr16	89737549	89816657	0.003182299448751606
FANCC	chr9	95099054	95426796	-0.00010822378975490355
FANCD2	chr3	10026414	10101930	-0.14557824934984856
FANCI	chr15	89243949	89317261	-0.000611215282787413
FAP	chr2	162170684	162245151	3.715584279173508e-05
FAR1	chr11	13668668	13732346	0.0003643558844173163
FAS	chr10	88990531	89017059	-0.00011881564136523367
FASLG	chr1	172659103	172666876	-0.00844705524627609
FASN	chr17	82078338	82098294	
FAT1	chr4	186587794	186726722	
FAT2	chr5	151504093	151568944	-0.0028293019144329146
FAT3	chr11	92352096	92896470	-0.001708139029617144
FAT4	chr4	125316399	125492932	-0.009430828969627918
FBL	chr19	39834458	39846379	2.5862359169178974e-05
FBLN2	chr3	13549125	13638422	-0.12985314947077853
FBLN5	chr14	91869412	91947987	-0.08132505423898645
FBP1	chr9	94603133	94640249	-0.00010822378975490355
FBXL20	chr17	39252663	39402523	0.17930124314049634
FBXO11	chr2	47789316	47905793	0.00017966151107430106
FBXO16	chr8	28348287	28490278	0.0001365661769422252
FBXO25	chr8	406428	477967	-0.00038707180952460594
FBXO33	chr14	39397669	39432500	-0.005458685290380866
FBXO42	chr1	16246840	16352480	0.0005035449590357965
FBXO43	chr8	100133351	100145817	0.0010538214892235856
FBXO45	chr3	196568611	196589059	0.000273025900581927
FBXW11	chr5	171861549	172006873	-0.00716110184528025
FBXW7	chr4	152320544	152536092	-0.002289617241669375
FCAR	chr19	54874235	54891420	-0.00653054565063833
FCER1A	chr1	159289714	159308224	-0.0046171018609826465
FCER2	chr19	7688758	7702146	0.002685610915600622
FCGBP	chr19	39863323	39934626	4.6450438081048194e-05
FCGR1A	chr1	149782671	149792518	0.0015460100015327032
FCGR2A	chr1	161505430	161524013	-0.026093719491998346
FCGR2B	chr1	161663147	161678654	-0.026093719491998346
FCGR3A	chr1	161541759	161550737	-0.026093719491998346
FCGR3B	chr1	161623196	161631963	-0.026093719491998346
FCMR	chr1	206903317	206923247	0.0009062435663323369
FCN1	chr9	134903232	134917912	0.1262471458481143
FCN2	chr9	134880810	134887523	0.1262471458481143
FCRL1	chr1	157794403	157820120	-0.0005464559093229346
FCRL2	chr1	157745733	157777132	-0.0005464559093229346
FCRL3	chr1	157674321	157700769	-0.0005464559093229346
FCRL4	chr1	157573747	157598085	-0.0005464559093229346
FCRL5	chr1	157513377	157552515	7.442554915724541e-05
FCRLA	chr1	161706972	161714352	-0.023969194630851873
FDFT1	chr8	11795573	11839304	-0.0002917252353298664
FDPS	chr1	155308748	155320666	0.0009447256351256569
FDX1	chr11	110429948	110464884	-0.01061669625336271
FECH	chr18	57544389	57586702	-0.03381473962030213
FEN1	chr11	61792911	61797238	0.0007399777444848059
FENDRR	chr16	86474529	86509099	0.019725674801881296
FER	chr5	108747841	109196841	0.0011284047209025895
FERMT3	chr11	64206678	64223886	0.003685000769892627
FES	chr15	90883695	90895776	-0.0022121996890148905
FETUB	chr3	186635969	186653141	0.0008641157790360995
FEV	chr2	218981087	218985184	0.04712961019326936
FEZ1	chr11	125442881	125592568	-0.0025993242248592827
FEZF1	chr7	122301303	122310691	0.00010812442394252517
FEZF2	chr3	62369681	62374324	-0.025358627940254137
FFAR1	chr19	35351552	35353862	6.731691575353827e-05
FGF1	chr5	142592178	142698070	3.4528084362653004e-05
FGF10	chr5	44300247	44389706	0.0015596860181587495
FGF13	chrX	138614727	139222777	
FGF19	chr11	69698238	69704022	0.0029738692413235233
FGF2	chr4	122826708	122898236	-0.009430828969627918
FGF21	chr19	48755524	48758333	0.0005427902172196493
FGF23	chr12	4368227	4379712	-0.05197670831832469
FGF4	chr11	69771022	69775341	0.0029738692413235233
FGF7	chr15	49423178	49488775	0.003396337514813386
FGF9	chr13	21671073	21704498	-0.0350962107475691
FGFBP2	chr4	15960245	15969309	-0.12133224495448075
FGFR1	chr8	38400215	38468834	0.00018892072028431134
FGFR2	chr10	121478334	121598458	-0.050259546627500436
FGFR3	chr4	1793293	1808872	-0.13543776502304397
FGFR4	chr5	177086905	177098144	-0.004553560483529834
FGR	chr1	27612064	27635185	0.0014289949103799284
FH	chr1	241497603	241519761	0.13960872772036745
FHAD1	chr1	15247272	15400283	0.000641076214575656
FHL1	chrX	136146702	136211359	
FHL2	chr2	105357712	105438513	-0.00011537053516973061
FHL3	chr1	37996770	38005606	0.020848399463453394
FHOD1	chr16	67229387	67247481	0.01030756366400854
FIBCD1	chr9	130902438	130939286	0.08989715278363561
FIBP	chr11	65883741	65888539	0.011935176169608616
FILIP1L	chr3	99830141	100114513	-0.010707034398929586
FIP1L1	chr4	53377641	53460862	-0.10385182409368528
FIRRE	chrX	131688779	131830862	
FKBP11	chr12	48921518	48926474	-0.0005779008786248526
FKBP15	chr9	113161006	113221318	0.0015528432279981355
FKTN	chr9	105558130	105641118	0.0002732261691292298
FLCN	chr17	17212212	17237188	-0.00029845357458371027
FLI1	chr11	128686535	128813267	-0.0010996818445793187
FLII	chr17	18244815	18258738	-0.00029845357458371027
FLNB	chr3	58008400	58172251	-0.034581866126714336
FLNC	chr7	128830377	128859274	6.73725576128317e-05
FLOT2	chr17	28879335	28897733	0.00038603625037614704
FLRT3	chr20	14322985	14337614	-0.0004207955747306463
FLT1	chr13	28300346	28495145	-0.028512742914652448
FLT3	chr13	28003274	28100592	-0.028512742914652448
FLT3LG	chr19	49474207	49486231	0.0005090292648720886
FLT4	chr5	180601506	180649624	-0.00156094931121706
FLYWCH1	chr16	2911937	2951208	0.004755963562036013
FMC1	chr7	139339457	139346328	2.7583275680340674e-05
FMN1	chr15	32765544	33194714	0.004043780019024639
FMN2	chr1	240014348	240475187	0.1126137462508947
FMO3	chr1	171090901	171117819	-0.00844705524627609
FMO5	chr1	147175351	147243050	0.0004990616359780521
FMOD	chr1	203340628	203351758	0.00010796952266883792
FN1	chr2	215360440	215436073	0.03647947861261257
FN3KRP	chr17	82716706	82730328	
FNDC3A	chr13	48975912	49209779	-0.011062722026995882
FNDC3B	chr3	172039578	172401669	0.0003967077982037563
FNDC5	chr1	32862268	32872482	0.007090505912763734
FNTA	chr8	43034194	43085788	0.00017883905557302356
FOLH1	chr11	49145092	49208638	0.0005550965363730477
FOLR1	chr11	72189558	72196323	0.0005359031344942022
FOLR2	chr11	72216601	72221950	0.0005359031344942022
FOSL1	chr11	65892049	65900573	0.011935176169608616
FOXA1	chr14	37589552	37596059	-0.005458685290380866
FOXA2	chr20	22581005	22585455	-0.00033093272859305436
FOXB1	chr15	60004234	60061730	0.0015568326008209817
FOXC1	chr6	1609915	1613897	-2.7001233954606018e-05
FOXC2	chr16	86566829	86569728	0.019725674801881296
FOXD2	chr1	47436017	47440691	0.03124479520221401
FOXE1	chr9	97853226	97856717	-0.00010822378975490355
FOXE3	chr1	47416285	47418052	0.03124479520221401
FOXF1	chr16	86510527	86515422	0.019725674801881296
FOXG1	chr14	28766787	28770277	-0.004081637882656571
FOXI1	chr5	170105897	170109734	-0.00716110184528025
FOXJ1	chr17	76136333	76141245	0.003162425782313197
FOXJ2	chr12	8032716	8055517	-0.06245676698558549
FOXL2	chr3	138944224	138947137	3.1363944314348633e-06
FOXM1	chr12	2857681	2877155	-0.029111438765546456
FOXN1	chr17	28506243	28538896	0.00038603625037614704
FOXO1	chr13	40555667	40666641	-0.02203826786417181
FOXO3	chr6	108559835	108684774	0.026950898656687563
FOXO4	chrX	71095851	71103532	
FOXP1	chr3	70952817	71583993	-0.025358627940254137
FOXP2	chr7	114086327	114693772	0.00010812442394252517
FOXP3	chrX	49250438	49270477	
FOXP4	chr6	41546426	41602384	0.0006825393872440679
FOXRED1	chr11	126269055	126278131	-0.0025993242248592827
FPR1	chr19	51745172	51804110	-4.185476624158715e-06
FPR2	chr19	51752026	51770531	-4.185476624158715e-06
FRA10AC1	chr10	93667883	93702592	-8.53649829551621e-05
FRAS1	chr4	78057323	78544269	-0.0881517336029445
FREM1	chr9	14734666	14910995	-0.11639345456569233
FREM2	chr13	38687077	38887131	-0.02203826786417181
FRMD6	chr14	51489100	51730727	-0.00889636089853597
FRMD7	chrX	132076993	132128020	
FRZB	chr2	182833275	182866637	0.0003384719219201136
FSCN1	chr7	5592816	5606655	-4.729841684267593e-05
FSHR	chr2	48962157	49154527	0.00013370561209632298
FSIP1	chr15	39588357	39782841	0.004043780019024639
FST	chr5	53480626	53487134	0.0015596860181587495
FSTL1	chr3	120392293	120450993	-7.295421950521448e-05
FSTL3	chr19	676392	683392	0.0007065477887497425
FTO	chr16	53701692	54158512	0.0015930165906617704
FUBP3	chr9	130578965	130638352	0.08989715278363561
FUCA1	chr1	23845077	23868294	0.0003731099274232452
FURIN	chr15	90868588	90883458	-0.0022121996890148905
FUS	chr16	31180110	31194871	0.0007675638341198598
FUT2	chr19	48695971	48705951	0.0005427902172196493
FUT3	chr19	5842888	5851474	0.00042994040518997746
FUT4	chr11	94543840	94549898	-0.001708139029617144
FUT7	chr9	137030174	137032088	
FUT8	chr14	65410592	65744121	-0.05764698793466415
FXR2	chr17	7591230	7614897	-0.050358427928358436
FXYD7	chr19	35143250	35154301	6.731691575353827e-05
FYN	chr6	111660332	111873452	0.026950898656687563
FZD1	chr7	91264433	91271326	0.02361533438366936
FZD10	chr12	130162459	130165740	0.0013663983693762275
FZD3	chr8	28494205	28574267	0.0001365661769422252
FZD4	chr11	86945679	86955395	-0.00024814774910539056
FZD6	chr8	103298433	103332866	0.003194944585899933
FZD9	chr7	73433778	73436120	0.0013359829688630546
FZR1	chr19	3506273	3538330	0.0003760747592308218
G6PD	chrX	154531391	154547572	
GAA	chr17	80101556	80119881	0.005546386178568871
GAB1	chr4	143336762	143474568	-0.00494972532125631
GAB2	chr11	78215293	78418348	-0.00024814774910539056
GABBR1	chr6	29555629	29633976	0.00010059273239843745
GABBR2	chr9	98288109	98708935	-0.00010822378975490355
GABRA1	chr5	161847063	161899981	-0.00665117178142286
GABRA2	chr4	46248427	46475230	-0.10639008306385227
GABRA3	chrX	152166234	152451315	
GABRA4	chr4	46918900	46993581	-0.10639008306385227
GABRA5	chr15	26866911	26949208	0.004588924611061515
GABRA6	chr5	161547063	161702593	-0.00665117178142286
GABRB2	chr5	161288429	161549044	-0.00665117178142286
GABRB3	chr15	26543546	26939539	0.004588924611061515
GABRD	chr1	2019329	2030758	0.005415208816122133
GABRG1	chr4	46035769	46124054	-0.10639008306385227
GABRG2	chr5	162000057	162162977	-0.00665117178142286
GABRG3	chr15	26971181	27541984	0.004588924611061515
GABRP	chr5	170763350	170814047	-0.00716110184528025
GABRQ	chrX	152637895	152657542	
GABRR3	chr3	97986673	98035304	-0.010707034398929586
GAD1	chr2	170813213	170861151	2.7187785413258078e-05
GAD2	chr10	26216665	26304558	-0.004173867097552244
GADD45A	chr1	67685201	67688334	0.0021664898695518847
GADD45G	chr9	89605012	89606555	-0.002214471468870328
GAGE1	chrX	49589496	49608536	
GAL	chr11	68683779	68691175	0.0029738692413235233
GALE	chr1	23795599	23800781	0.0002534796543138907
GALK1	chr17	75751594	75765236	0.0015271212748442238
GALNS	chr16	88813734	88856970	0.003182299448751606
GALP	chr19	56176008	56185775	-0.02127600088982327
GALR1	chr18	77249848	77277900	-0.04047245549436178
GANAB	chr11	62624826	62646726	0.0010815157196392648
GANC	chr15	42273233	42356935	0.002494240172503986
GAP43	chr3	115623324	115721490	-0.0004695229025423783
GART	chr21	33503931	33543491	-0.0004919134136229591
GAS2L1	chr22	29306582	29312785	0.00019704791692216856
GAS6	chr13	113820549	113864076	
GATA1	chrX	48786562	48794311	
GATA2	chr3	128479427	128493201	-4.6802366466423495e-05
GATA3	chr10	8045378	8075198	-0.012873963989598081
GATA4	chr8	11676959	11760002	-0.0002917252353298664
GATA6	chr18	22169392	22202528	-0.03381473962030213
GBA	chr1	155234452	155244699	0.0009447256351256569
GBE1	chr3	81489703	81761645	-0.025358627940254137
GBF1	chr10	102245532	102382899	-0.0006966712971070071
GBP1	chr1	89052319	89065230	0.00042704823914014586
GBP5	chr1	89258950	89272804	0.00042704823914014586
GBX2	chr2	236165236	236168386	0.00869518892229871
GCGR	chr17	81804132	81814008	0.009892477408176966
GCH1	chr14	54842008	54902826	-0.017738258942879087
GCKR	chr2	27496839	27523684	0.0006508387604871469
GCLM	chr1	93885199	93909456	0.00046837332385327163
GCM1	chr6	53126961	53148841	0.007837123110607812
GCN1	chr12	120127202	120194715	0.0006123650542522869
GCNT2	chr6	10492223	10629368	-0.00014473675024242463
GCNT4	chr5	75025346	75052558	0.0003661442890861914
GDA	chr9	72114595	72257193	-0.04108948254634385
GDF11	chr12	55743122	55757264	0.000113869904110443
GDF15	chr19	18374731	18389176	0.00011517494160196627
GDF2	chr10	47322454	47327588	-0.00035699643743521413
GDF3	chr12	7689784	7695775	-0.06950850039127196
GDF5	chr20	35433347	35454746	-0.00019598363105757823
GDF6	chr8	96142333	96160806	0.000569577304024539
GDF7	chr2	20667144	20679243	0.000914035748314104
GDF9	chr5	132861181	132866884	0.002963002185801527
GDNF	chr5	37812677	37840041	0.001815849488023424
GFPT1	chr2	69319769	69387254	9.615995443661535e-05
GFRA1	chr10	116056925	116273467	-0.01633029471607391
GGT1	chr22	24556007	24629005	0.0016049039426985318
GH1	chr17	63917200	63918839	0.0006450976308161934
GHITM	chr10	84139509	84153568	-1.3390626304210829e-05
GHR	chr5	42423439	42721878	0.0015596860181587495
GHSR	chr3	172443291	172448456	0.0003967077982037563
GIGYF1	chr7	100679507	100694037	0.0006075267652087388
GIMAP4	chr7	150567369	150573953	-3.2155516831104314e-05
GIMAP5	chr7	150722253	150750033	-3.2155516831104314e-05
GIMAP8	chr7	150450630	150479393	-3.2155516831104314e-05
GIPC1	chr19	14477760	14496149	0.022033621157534114
GIPC2	chr1	77979542	78138444	0.0006626652622370595
GJA1	chr6	121435595	121449727	0.026991936291005957
GJA5	chr1	147756199	147773362	0.0015460100015327032
GJB1	chrX	71215194	71225516	
GJB6	chr13	20221962	20232365	-0.0350962107475691
GJC1	chr17	44798448	44830816	0.01956760265630175
GKN1	chr2	68974573	68980980	9.615995443661535e-05
GLA	chrX	101393273	101408012	
